12000 6
2 6915 6
1 6397 5
2 3746 3
1 8560 1
2 9840 5
1 9783 3
2 306 3
2 1526 1
2 6386 4
2 4621 6
2 540 4
2 4970 4
1 8095 3
2 8590 2
1 336 2
2 2463 2
1 6715 5
2 5484 5
1 810 2
1 1229 5
2 5507 5
1 3553 6
2 6142 6
1 9518 1
2 2190 1
2 4425 3
2 8167 4
2 6198 6
2 6405 4
2 8802 3
1 3770 5
2 6843 4
2 7977 2
1 7210 2
1 9499 6
1 8471 5
1 7132 5
1 2693 2
1 8720 6
1 5959 1
2 7818 4
2 5574 3
2 2236 6
2 8535 4
2 7154 5
2 5168 2
1 3744 6
1 7540 6
2 1676 4
1 3557 5
1 5822 4
2 2489 3
2 2157 4
2 920 3
1 3970 4
1 7756 2
1 8027 5
2 7938 4
2 8584 3
1 2421 1
1 6679 3
2 4261 3
1 1269 1
2 1634 2
2 6207 3
1 7863 2
1 7565 3
1 8659 4
1 140 3
2 9694 2
1 9279 6
2 7636 2
1 5200 1
1 6441 1
2 9739 6
2 5621 1
1 577 1
2 8971 6
1 8528 2
1 1480 1
2 5117 3
2 3245 2
1 1133 3
1 5040 1
2 2278 2
2 1099 5
1 6943 3
1 5475 6
2 363 4
2 420 4
1 1442 1
2 3020 3
2 3688 2
1 7905 3
1 8165 4
1 176 2
2 3521 1
2 72 6
2 1548 6
1 7563 4
2 6707 6
2 3989 6
2 2074 3
2 8135 1
1 2222 6
2 2951 3
2 7894 5
2 348 5
2 5460 2
1 366 3
1 2375 3
1 3960 5
1 3008 4
2 4732 2
2 1636 1
2 9156 3
2 1020 5
2 1834 2
1 6245 1
2 5165 6
2 2506 4
2 6670 3
2 5550 5
2 5721 4
2 6967 3
2 2669 4
1 2512 4
2 9407 4
1 4686 5
2 1759 1
2 4386 6
2 6961 5
2 3743 3
2 1735 6
1 9931 2
2 6711 2
1 6106 5
1 3540 5
1 9395 3
2 376 3
1 903 6
2 9547 3
2 1899 2
2 5308 1
1 1264 1
2 6670 2
2 3015 5
2 6759 6
1 598 6
1 6833 2
1 4889 2
1 2327 5
2 5852 1
1 3491 1
1 9475 1
2 4887 5
2 804 1
2 8522 6
1 9981 1
1 3331 3
1 7743 2
1 8764 1
1 9243 2
1 6483 3
1 7504 4
2 7596 1
1 5299 5
2 2806 4
1 4319 2
1 9570 6
2 43 6
2 4053 3
1 303 3
1 6417 3
1 2477 6
1 8280 2
1 2315 6
2 3724 6
2 8628 3
2 4242 2
2 3435 4
1 7241 4
2 9690 3
2 6216 6
1 7678 2
1 3790 5
1 3419 5
2 794 6
1 2007 5
1 7287 1
1 843 6
2 2806 6
2 5518 5
2 50 6
2 2286 1
1 8317 5
1 5460 6
1 333 3
2 8849 6
2 4008 3
1 1256 5
2 143 5
2 860 3
2 487 3
1 1071 2
2 2323 3
1 1548 6
2 1324 4
1 2292 5
1 4218 3
1 8670 4
2 1362 3
1 8815 2
1 6701 3
2 6082 5
1 7306 6
1 4588 4
2 3139 3
2 9808 6
2 2422 3
2 8937 4
2 2936 3
1 2160 6
1 4415 2
2 2939 2
2 7674 3
1 2428 5
2 5089 5
1 1124 5
1 992 4
1 2306 5
2 2833 5
2 6906 5
1 7442 5
1 171 4
2 4431 5
1 2037 1
1 1458 5
2 7471 3
1 7084 5
2 2819 5
2 7983 5
1 3736 1
2 939 6
2 331 1
1 9680 1
2 9480 2
1 9276 6
2 6741 6
1 3851 5
1 5172 6
2 9768 2
2 4950 4
2 5309 3
1 2383 5
2 4379 5
1 7003 4
1 9563 6
2 4807 6
1 3161 1
2 9562 5
2 9906 3
1 1447 5
1 7154 3
2 4716 3
1 3617 5
1 985 4
2 1079 5
2 4272 5
1 8781 6
2 8918 3
1 3562 1
2 7333 2
2 2595 6
1 6215 3
1 8991 6
2 635 3
2 6812 5
1 2030 1
2 8149 3
2 8345 4
2 6842 2
2 7588 5
1 6674 2
2 4696 1
1 8822 2
1 8855 1
2 9351 6
1 7686 6
2 8267 1
2 5242 6
1 5411 6
1 9812 1
1 9285 2
1 7958 4
2 4266 2
1 6380 6
2 2402 5
1 5978 3
2 2870 3
2 9332 6
1 8172 1
2 5273 2
2 8062 6
1 5821 3
1 4834 5
2 8155 4
1 3560 3
2 8592 1
1 2704 6
1 492 3
2 4961 1
1 7300 5
1 4870 1
2 9789 2
2 749 5
1 2404 5
1 7173 1
2 4308 3
1 5505 3
2 6469 6
2 6434 1
1 4735 5
2 7937 1
2 2679 1
2 614 6
1 7449 6
2 3660 1
2 4405 3
2 8816 1
2 8399 6
2 4577 5
2 9080 1
2 1112 1
2 8456 4
2 8523 1
2 2760 5
2 3558 1
1 1037 6
1 7445 2
1 2702 3
1 6786 4
1 6204 2
1 6253 4
1 2105 3
1 6230 4
2 9930 5
1 3409 6
2 5969 5
2 9691 4
1 3771 3
1 7323 4
1 7948 3
2 2236 4
1 8844 6
2 9270 5
2 537 2
2 6563 1
1 6505 4
1 4403 4
2 239 6
2 4607 2
1 1416 6
1 6330 2
1 8310 2
2 4449 2
2 9659 3
2 463 5
1 9427 5
1 3649 4
2 3576 6
1 5997 4
2 1774 3
1 4121 3
2 1124 4
1 9911 2
1 1596 6
2 3038 6
1 9234 4
1 6627 2
1 9689 3
1 3744 5
2 5696 4
1 978 5
1 786 6
1 5905 2
2 1513 5
1 9277 3
2 4235 1
2 2251 6
2 1773 1
1 398 4
1 6094 1
2 1441 2
1 6746 2
2 8029 5
2 6858 4
2 9783 6
2 4463 5
2 3642 1
2 9382 4
2 6114 5
2 3102 2
1 4251 1
1 2387 3
2 1358 3
2 9742 6
2 4611 4
1 9699 2
2 1097 4
1 6942 3
1 7278 4
2 1523 2
1 2517 2
1 9065 3
1 4157 2
2 4771 2
1 4738 5
1 9518 5
1 9890 4
1 3990 2
2 7257 1
2 7975 3
2 5180 3
1 335 5
2 9811 2
1 7376 4
1 1266 6
1 5175 3
1 4523 3
2 5120 5
1 3111 3
1 7970 4
1 1435 2
2 2442 3
2 1038 4
1 4024 2
1 8159 2
1 8431 4
1 752 1
2 192 5
1 8431 1
1 2893 1
2 9014 5
2 3663 5
1 434 4
1 1986 6
2 6503 2
1 7886 6
2 118 5
2 9441 2
2 230 4
1 9371 4
2 3904 6
2 8097 6
2 6084 6
1 5633 5
1 128 3
2 5776 6
2 4142 6
1 7618 5
2 1608 2
2 6438 3
2 4828 4
2 4091 4
2 8519 1
1 4040 2
1 5095 2
1 503 2
1 4670 4
1 7637 1
1 4383 6
1 9359 6
1 9958 5
1 9312 3
2 2453 3
1 273 2
2 8369 3
1 3799 6
2 5636 2
2 565 3
1 8127 6
2 7892 4
2 7743 4
2 8244 1
2 4205 2
1 9533 4
1 1948 2
1 3482 3
2 4687 5
2 7467 2
2 7956 4
2 8565 4
1 9087 6
2 2388 6
2 9441 1
1 5855 2
2 5710 1
1 3695 4
1 2009 1
2 3789 5
1 5410 4
2 6774 1
1 5409 2
2 3463 5
1 7685 6
1 7192 1
2 8032 4
1 5087 1
1 2215 6
2 5441 6
1 6311 3
1 7850 2
1 8256 1
2 8768 2
1 473 5
2 652 6
1 6590 3
1 15 3
2 6132 4
2 5864 1
2 6659 2
2 984 6
1 5621 4
2 5829 3
2 9097 2
1 2274 5
1 8893 1
1 9382 2
1 5373 3
2 8474 5
2 257 1
1 3064 2
1 3085 1
1 6818 6
1 6911 5
1 4935 6
2 8891 2
2 5730 2
1 7944 3
1 2086 3
2 9534 2
1 189 3
1 5823 2
1 2146 5
1 2112 2
1 5939 2
2 8727 1
2 1082 2
2 1066 5
2 5336 5
1 8162 3
1 3499 3
1 3211 6
2 7769 6
2 4549 5
2 3536 3
1 1077 1
2 3137 2
1 7381 1
1 9042 2
1 5173 2
2 8361 1
2 7104 2
2 1901 3
1 8120 1
2 202 6
1 7975 5
1 7352 2
2 6958 5
2 5908 5
2 5003 3
1 1572 5
2 8980 4
1 619 6
1 8832 1
2 1911 4
1 3780 6
1 6368 6
2 1113 4
1 8123 4
1 1782 6
2 9854 4
1 5629 6
1 168 2
2 2523 5
1 8637 5
1 8118 2
1 5366 6
2 4193 3
1 4399 1
2 1323 6
1 8557 1
1 1720 1
2 2162 3
1 252 5
2 229 3
2 5196 3
1 9297 2
2 9933 5
2 7579 5
2 5105 3
2 2357 6
2 1539 3
1 3767 6
1 2250 2
2 2907 1
1 2793 1
2 1652 5
1 1903 1
2 6601 2
2 912 6
1 5981 2
2 8695 3
1 8223 2
2 4433 4
1 8262 3
2 5344 5
2 6155 5
2 5122 1
1 6622 6
1 3466 2
1 3527 6
1 6351 2
1 5349 6
1 9841 6
1 6956 5
1 1113 3
2 4868 2
2 3747 5
1 6332 3
1 6921 1
1 8475 4
1 9983 5
2 8180 5
1 7852 3
1 8356 2
1 9026 1
2 4365 1
1 7934 4
1 4282 2
2 9813 3
2 8194 3
2 9763 5
2 4846 6
2 7191 3
2 2778 2
1 5771 1
1 7320 5
2 8490 5
1 7036 1
2 2040 3
2 7664 6
1 9907 2
1 6587 6
1 3357 5
2 5814 4
2 8670 4
2 3038 2
2 4059 4
2 5294 1
2 4250 2
1 8952 4
1 1702 4
2 9293 3
1 8960 1
1 8350 6
1 8995 3
1 2600 2
1 2440 6
1 803 1
1 8229 5
1 2271 4
2 9319 1
1 980 6
2 1622 4
2 9709 4
1 5718 2
2 2874 2
1 4637 2
2 9329 3
1 9368 1
2 5589 5
2 5669 3
2 6416 5
1 41 4
2 9190 4
2 9298 6
1 1800 1
1 4498 6
2 2828 3
1 4861 4
2 6595 6
2 1136 1
1 5683 2
2 8157 1
1 8803 3
2 9242 1
1 3749 6
1 599 1
1 9610 4
2 5778 5
1 495 3
2 9791 1
2 264 5
1 6935 3
1 914 4
2 3295 2
1 997 5
